Username,Tanggal,Rating,Isi Review,Label Sentimen
Indria Lestari,12 Juni 2025,5,"Pertama X ngurusin pengesahan STNK tanpa harus datang ke samsat, cukup lewat apk signal.prosesnya mudah, cepat, tp harus ada jaringan yg kuat krna kalo gak bakal buffering.Tingkatkan terus pelayanan aplikasinya, dan pertahankan kualitas dan kepuasan masyarakat",
Andri Turbo28,16 Mei 2025,1,tolong oknum saya mau bayar pajak lewat aplikasi tetapi setiap mendekati bulan nya tidak bisa pengesahan. ternyata itu akal-akalan oknum suruh ke samsat dengan merubah status menjadi membutuhkan validasi data dan harus ke samsat. tapi ujung nya dia suruh bayar lewat samsat dengan alasan aplikasi error dan sinyal nya saja itu. faktanya mereka merubah statusnya menjadi butuh validasi .tolong yang buat aplikasi dan pemerintah menangani kasus seperti ini,
Tami Prasiwi,2025-04-30 00:00:00,1,"dari kemarin mau bayar susah. keterangan ga bisa daftar stnk la, trus uda proses pembayaran di persulit lagi dengan ket kode bayar belum tersedia padahal uda input benar ga. trus ditanya di live chat juga ga membantu sama sekali. masa agent nya sibuk terus ",
Stefanus Indra,17 Mei 2025,2,Proses pembayaran lumayan cepat dan banyak opsi pembayaran. Cuma proses pengiriman dokumen lama pakai pos express sampai 3 hari padahal ongkir lumayan. 27k dan hanya pakai expedisi. tolong ditingkatkan lagi,
Agus W,10 Juli 2025,5,"Sangat membantu sekali , aplikasi simple , ga ribet , proses cepat. Tambahkan fitur2 lain untuk mempermudah wajib pajak. Sebetulnya orang2 itu bukan ga mau pajak ,tapi prosesnya yg dipersulit. Dengan adanya aplikasi ini mantablah ,simple ga ruwet. ada kemajuan bisa bayar pajak dari rumah. Pengiriman stnk ke rumah juga cepat",
Ardie Arie,1 Juli 2025,1,"Pendaftaran gagal terus, ktp dan foto sudah sesuai dan sudah pernah saya gunakan untuk pendaftaran rekening bank, bpjs, dll tanpa ada perubahan data dalam kurun waktu 4 tahun terakhir. lebih mudah saat bisa langsung bayar ke pihak ketiga tapi malah dipindah lagi ke aplikasi yang nyatanya belum lulus tes blackbox saat developmentnya",
Asri Adi,7 Juli 2025,1,"malah di buat pusing, mau masukkan data kk malah kolomnya gak bisa di klik, lah gimana mau bayar, datang ke samsat tapi gak bisa krn luar provinsi, pakai SIGNAL malah gak bisa isi KK, saya kira di permudah malah di persulit apk ini. tingkatkan lagi layanannya bosku biar masyarakat lebih mudah bayar pajak",
Ogi Hadori,4 Juli 2025,3,"untuk daftar nya susah, verivikasi gagal terus, padahal data diri udah sesuai e-ktp , data diri sudah terdaftar juga di e-ktp elektronik, bahkan memakai apk lain untuk pendaftaran memakai e-ktp lancar tidak ada kendala,.. hayoh kenapa min ?, padahal cuma ingin bayar pajak kendaraan masih saja susah hadeuhhh..",
Zuli Setiyaningsih,2025-04-12 00:00:00,5,"Mempermudah pembayaran pajak kendaraan, apalagi bagi kita yg bekerja. Tidak perlu antri di samsat, tinggal sat set ketik diaplikasi Signal. Hanya saja saya mencoba menambahkan kendaraan saya yg lainnya, tp kok tdk bs ditambahkan di aplikasinya ya? tapi selebihnya pelayanannya oke.",
akiemsusanoey,2025-04-08 00:00:00,2,sangat aneh pelayanannya. saya mencoba byr pajak STNK via signal dan bayar dan pilih ambil di Samsat tapi tetap diminta dokumen seperti proses awal. Laah kan sudah beres via apps kenapa harus lampirkan ini itu ? Tahu gini mening kirim via pos. Tidak ada guna nya apps ini.,
Trhliya_ 24,11 Juli 2025,5,"pengesahan stnk nya sangat mudah , dan pengiriman stnk nya pun sangat cepat cuma 2 hari aja , bagus bangett jdi ga perlu ngantri2 buat bayar pajak disini aja",
dita a,11 Juli 2025,1,"kenapa mau verifikasi ngga bisa??? sy coba 10x, foto 10x, foto ktp 10x, 10x juga aplikasi ini respondata sy tidak sesuai di dukcapil😭😭",
Marisa Dewita,14 Juli 2025,3,sudah 7 hari ko status masih pra collecting...kapan dikirimnya ko lama banget sih...tolong bantu segera dikirim... terimakasih tingkatkan kembali kecepatan nya...,
G Yuda,11 Juli 2025,5,"sangat membantu dan mempermudah pembayaran pajak Ranmor, terimakasih. kedepan semoga perpanjangan pajak 5 tahunan juga bisa online, selain memudahkan menambah kas negara juga menghilangkan percaloan",
Sabanul Yamin,9 Juli 2025,5,"Sangat Membantu Sekali, Rekomemded. Memudahkan saya untuk membayar pajak kendaraan tepat waktu tanpa harus ke SAMSAT. ini keempat kalinya menggunakan aplikasi SIGNAL dan sangat memuaskan bagi saya yang pekerja kantoran. Cuma tahun ini ada biaya Platform sebesar Rp 10.000.- yang harus dibayarkan... tapi itu tidak jadi masalah yang penting bisa bayar pajak dan menjadi warga negara yang taat",
Rusdi Mahendra,11 Juli 2025,5,"proses cepat, mudah, cocok bagi pengguna yg lg merantau luar provinsi. pengiriman juga cepat.",
Ferdi Jufri,11 Juli 2025,1,awal² aplikasinya berfungsi.sekarang susah ga bisa bayar pajak lewat aplikasi.live chat ga berfungsi jawabannya muter² terus.Payah mending buang aja aplikasi sampah,
Alwani Hisbuloh,2025-04-17 00:00:00,1,"aplikasi tingkat nasional tapi sering gangguan,banyak erornya. ada kendaraan saya yg tidak bisa ikut pengesahan stnk, ada yang bisa tapi kode bayar tidak terbaca, sudah saya ulang berkali kali sampe beberapa hari tapi tetap sama. tingkatkan lagi",
snowcoco CB,2 Juli 2025,5,"Aplikasi ini sangat membantu! jujur sering telat bayar pajak karena susah cari waktu untuk pergi langsung ke samsat, tapi setelah tau ada signal ini bayar pajak kendaraan jadi mudah banget ! kurir dari POS Indonesia juga sangat komunikatif dan membantu",
mdmulia,20 Juni 2025,1,pengembangan aplikasinya mungkin sengaja dihambat kali ya. bayar lewat signal pake bank bri gabisa2. nyoba pake btn bisa. eh setelah brhasil transaksi status bayar pajaknya pun belum bayar. tiba2 ada wa dari pos kalo gabiaa ngirim. suruh ke samsat buat nyetak lembar pajaknya. hhemm... ruwet emang sistem pajak negara ini,
Mayang Sari,14 Mei 2025,5,sangat bermanfaat untuk yg sibuk dan tidak sempat datang ke samsat. pembayaran mudah dan dokumen langsung di antar. tapi sayang gak dpt stiker untuk stnk jadi harus print lagi. trus juga pengiriman agak lama meskipun saya pakai jasa pengiriman yg instan. h+7 dokumen baru diantar ke rumah. cuma saran untuk pengiriman bisa di percepat. thank,
Abdul Rifaih,21 Mei 2025,1,untuk pengaduannya gak jelas asli.. masalah pembayaran melalui tokopedia sudah berhasil namun di aplikasi ini status pembayaraan tidak berubah dan malah kadaluwarsa. pengaduan lewat aplikasi ini di suruh lewat email dan sudah di email beberapa kali pada jam operasional tidak ada jawaban parah. emng di samsat orng sebanyak itu ngapain ajja sibuk semua atau emng menyibukin diri sendiri ajja,
Dini Nf,18 Mei 2025,1,"aneh bngt orang mau bayar pasti katanya kode bayar tidak ditemukan,udah coba berulang kali dari kemarin² masih aja begitu, padahal udah bener loh,ini error apa gimana?katanya mempermudah tapi begitu, padahal kemarin udah dateng ke Samsat nya langsung,malah suruh pakai apk nya aja,giliran ini udah pake apk nya malah ga bisa buat bayar,gimana siihhh!!!",
ato vhyethartz,10 Juli 2025,5,"mohon untuk dibenahi kembali dibagian pelacakan resi (khusus untuk dokumen yang dikirim),karena jika di klik lacak tidak muncul atau tidak terdeteksi untuk pelacakan nya...#tapi over all sudah bagus...thanks.",
Daman Jaya,8 Juli 2025,5,"Bagi orang yang tidak ada waktu untuk mengurus pajak, dengan aplikasi SIGNAL semua dapat mengurus dengan mudah, untuk pembayarannya juga mudah tinggal pilih aja jenis pembayarannya, dan estimasi pengiriman STNK nya kurang lebih seminggu setelah kita transaksi.",
Julia Hartatii,10 Juni 2025,4,overall oke. pengiriman lumayan apk nya pak pembayaran pilih bank lama sekali muncul kodenya bahkan gak bisa. jadi bayar di tokped. untuk kartu fisiknya tidak seperti kita datang langsung ke Samsat,
charis s afandi,19 Mei 2025,2,"bayar pajak kendaraan pakai aplikasi ini ada biaya layanan dan biaya pengiriman, disaat negara yg butuh rakyat kenapa harus dibikin sulit??? pengiriman juga lamaaaa sekali, tercetak tgl 2, nyampeknya tgl 16...mending drive-thru aja lah",
auda,14 Juni 2025,1,"aplikasi ini membantu, akan tetapi status masih dipenerbitan dokumen digital selama 1 bulan tidak berubah status ke pengiriman??? lama kali, padahal bayar juga lgsg loh, ga kredit. Ayo diperbaiki lagi ini sistemnya. Masak kalah sama belanja online.",
Muhammad Wildan,6 Juni 2025,5,Improve yg barusan saya rasakan sangat baik di aplikasi pemerintah yg satu ini. sebelumnya saya kecewa sama aplikasi ini karna susah banget setiap masukkan plat ga kebaca tapi skrg sekali masukkan langsung kebaca. kali ini saya bangga dan teruskan lakukan yang terbaik dan JANGAN DIKORUPSI,
Siti Kasiani,11 Mei 2025,1,"Aplikasi gk guna. Mau bayar aja susah bgt. udh coba ke atm bri, alfamart, indomaret shopeepay, gagal semua. cs nya juga gk membantu, cmn d suruh nyoba berkala. Udh d voba berkala tp tetep aja gk bisa, sampai jatuh tempo",
Darmadi Z'ach,9 Mei 2025,3,"bagus apknya jd byr pajak tidak di calo2in org pajak,utk transaksi pertama pajak di kirim krmh tp utk transaksi ke dua pajak gk ada di kirim krmh krn tergantung petugas Samsat yg di wilayah kendaraan kita mau kirim atau tidak ini yg msh sistemnya nya kurang bagus,hrsnya sistemnya bisa di rubah lagi utk pengiriman pajak nya",
Yonathan Tanuwidjaja,14 Mei 2025,4,Mempermudah perpanjangan STNK. Namun untuk aplikasinya untuk tiap responnya masih agak lambat.. Saya rasa masih dapat ditingkatkan untuk lebih di optimalkan aplikasinya.. Terimakasih,
hana pzh,19 Juni 2025,1,verifikasi email tidak bisa. CS hanya office hours. seharusnya 24 jam dengan sistem shifting jadi jam berapapun ada kendala bisa langsung di selesaikan. masa kalah dengan aplikasi swasta. verifikasi email saja ribet sekali telat2 masuknya. saya verifikasi dibilang kadarluasa padahal di menit yang sama Saya klik. payah,
Kundoyo,17 Mei 2025,1,"aplikasi gk jelas. sangat tidak membantu. pengesahan pendaftaran selalu gagal. pengaduan lewat live chat gk bisa cuma muter"" doang. pengaduan lewat email gk ada respon balasan. pengaduan lewat fb dijawab oleh sistem bla bla bla. maunya sebenarnya apa sih.? koar"" wajib bayar pajak tapi sarana pembayaran sangat dipersulit. maunya gimana sih.? bayar susah, gk bayar salah. parah... parah... parah",
ADR OI,12 Juli 2025,5,saya daftar gak bisa karna e ktp masa berlaku 2017 bukankah sekarang ktp meski masa berlaku habis.tapi tetap bisa gunakan tapi aku daftar di sini gak bisa hanya karna berlaku e ktp,
Ani Darwati,3 Juni 2025,5,toppp.. sangat memudahkan bgt.. kalau bisa adaiin fitur untuk pemutihan perubahan alamat dan nama pemilik motor ya pak. biar sy gausah jauh2 ke samsat.. kalau adain fitur itu dijamin si bakal jadi keren dan membantu semua org.,
Nanda Frima,8 Juli 2025,4,"Pengalaman pertama pakai signal, keren dan sangat membantu. Hanya saja utk tracking pengiriman kok ga ada update ya, problem nya di pos atau di signal? tiba2 udah nyampe aja.",
Sutrisno SPd,25 Mei 2025,3,"Sudah cukup bagus, namun sayang laporan di transaksi tertulis ""kadaluwarsa"" pdhl di pembayaran sdh sukses dan terkonfirmasi. Laporandi transaksi jg cenderung lambat. Pengaduan di aplikasi hya robot yg bekerja shg tdk memberi solusi. Semoga menjadi perhatian utk terus diperbaiki dan dikembangkan.",
M Jaelani,2025-04-17 00:00:00,5,"Aplikasi ini sangat membantu dlm menyelesaikan pembayaran pajak kendaraan bermotor secara mudah, bisa dilakukan dari mana saja tanpa banyak buang waktu dan tenaga cukup 5 sd 10 menit sekesai sudah dapat bukti pembayaran digital. Tinggal bukti fisik tunggu kurang lebih 1 minggu sudah diterima.",
Phoebeanne S pratiwi,7 Mei 2025,3,"engga bisa tracking pengiriman STNK gw lebih ngeri ditilang perkara yg lalai dari mereka karena pengesahannya belum sampai ke pemilik (estimasi 2-3 hari) udah lebih dari 3 hari masih belum nyampe juga diperbaiki tolong, masa sekelas aplikasi pelayanan publik malah bikin ribet",
Sri Devi Setyowati,28 Juni 2025,5,"Tadinya takut mau memperpanjang di aplikasi signal ini, memberanikan diri untuk memperpanjang STNK ini di aplikasi signal, tapi prosesnya lama banget, dan setelah kirim email kasih tanda bukti pembayaran engga lama langsung proses pengiriman, dan terimakasih banyak aplikasi signal mempermudah untuk memperpanjang STNK , amanah. sukses",
Rahmah Putri,20 Juni 2025,5,"Enak banget pake aplikasi ini, jadi dipermudah semuanya Tinggal isi data konfirmasi pembayaran langang dikirim deh dokumennya gak perlu pake calo calo lagi lumayan lebih hemat, berguna banget untuk anak rantau dan menghemat waktu bangettt Next kalo bisa dibuatin aplikasi untuk perpanjangan 5 tahunan yaaa",
Lathifa Teesha,19 Juni 2025,1,"Prosesnya sampai payment nya memang gampang sangat memudahkan, tapi untuk diserahkan ke POS nya suangat lamaaaaa berbulan bulan. kalo lama mending jangan di adain online deh khususnya TASIKMALAYA, prosesnya sangat lambat sekali. mending nyuruh orang buat perpanjang STNK offline dari pada payment cepet tapi prosesnya berabad abad.",
Ketrin Nurhana,2 Juni 2025,1,tujuannya dibikin aplikasi ini apa? kalo sama saja ribetnya. saya mau bayar pajak motor. dan stnk atas nama bapak saya. sedangkan beliau diluar pulau. tapi tidak bisa bayar kalo akun dan kepemilikan tidak sama. gunanya ada aplikasi online buat apa klo tidak bisa mempermudah,
An'im Mudzakir,2 Juli 2025,1,"aplikasi buruk, jika data tidak sesuai bisa diberitahu mana yang yang tidak sesuai, seperti bold merah, ini nggak, udah input data, sudah benar tetap tidak bisa daftarkan kendaraan, bad aplikasi",
Nhino Rider,15 Mei 2025,5,"dengan adanya apk signal ini,,kita membayar pajak jdi lebih mudah,,tdk perlu repot repot ngantri,,cukup ketak ketik isi datadirumah selesai,,goodjob,,hatur nuhun visan,, kalo sudah ada yg mudah ngapain cari cari yang repot,,lewat signal saja bayarpajaknya,,betul tidak",
Rosliana Siregar,2025-04-21 00:00:00,1,"Pengiriman STNK sangat lama dan respon atas pemgaduan kita ditindaklanjuti nya sangat lama. STNK saya sudah hampir 2 bulan belum diantar juga tp diaplikasi sudah dinyatakan selesai, saya coba hubungi kontak pemgaduan, tapi respon nya tidak ada, nyesal bayar dari online",
Han Ni,19 Juni 2025,4,"nggak bisa buka opsi kirim dokumen ke rumah, tidak tersedia mulu. tetep ambil sendiri intuk antk fisikny, itu kenapa ya? nggak tau erorr atau knpaa.... sudah bisaaaaa setelah beberapa kali gagal sip lah, tapi aku kasih 4 bintang dulu",
Wisnu Alfaris,26 Juni 2025,1,"pengiriman paket sangat lambat, sy transaksi pembayaran tgl 13 juni dikirim paketnya tgl 24 juni, 11 hari baru dikirim, di samsat Ujung Batu.👎 Untuk resi pengiriman yg tertera di apl resi samsat bukan resi pos, jadi tidak bisa dilacak.",
sapril romdani,30 Juni 2025,5,"Pertama bayar PKB menggunakan secara online, mantep tdk perlu antri, lanjutkan pelayanan yang lebih baik, cepat dan tdk berbelit belit.. terimakasih. Utk pengguna lain perhatikan versi perangkat dan kecepatan internet yg digunakan.",
Abdul Akhir,2 Juli 2025,2,"Untuk Database oke semua terdaftar, namun Aplikasi ini ada kendala di Masalah Pembayaran tidak bisa akses ke MyBCA + ShopeePay (RTO). jadi saya Uninstall lagi dan akhirnya saya ke lokasi Samsat yang seharusnya Online membantumu untuk yg diluar daerah dengan cara bayar dan kirim ke tempat. Silahkan diperbaiki lg, siapa tau tahun dpn dpn bisa si akses dengan baik.",
Desijuna Juna,2025-04-10 00:00:00,1,"aplikasinya sih mudah di gunakan pembayaran mudah, tapi sampai sekarang stnk saya belum juga di kirim ke alamat rumah setelah saya sudah selesai melakukan pembayaran proges di aplikasi terhenti di penerbitan dokumen digital saja. pengaduan pun tidak direspon sama sekali sangat mengecewakan",
Rizki,7 Juni 2025,4,"bayar pajak stnk gampang, cuma tau tahun ini lama bgt. sampe nunggu lama baru di anterin. proses tahun kemaren cepet ga nunggu lama. tapi tetep best sih tanpa harus ke samsat tapi udah di kirim lewat apk. terus berkembang, maju, dan tdk lelet ya. sukses selalu kak",
Syafa'atul Hidayat,13 Juli 2025,5,proses kirim lebih di percepat lagi sesuai estimasi 3hr jangan sampe lewat.. bagus bagi orang yang sibuk dan tidak ada waktu luang ke samsat semoga terus berkembang apl y sangat bermanfaat sekali,
Bhoenkz Jalil TKRC#017,1 Juni 2025,5,sangat puas bagus dan mudah ada nya pelayanan bayar pajak online melalui apk singnal tidak perlu lagi untuk antri dan capek-capek berangkat jauh bayar pajak hanya lewat signal bisa sambil rebahan terselesaikan semua nya.,
Novayanti Silalahi,8 Mei 2025,5,sangat membantu aplikasi ini buat yg jauh dari Samsat setempat. dan cepat pengurusannya terimakasih signal memudahkan kita dimnapun berada mengurus STNK. Hanya untuk pengiriminnya bisa lebih cepat lagi.,
Yuni D Astuti,19 Mei 2025,5,"simpel,praktis dan ga ribet..cuma awal2 aja pas registrasi awal..pastikan nama di stnk sesuai memang 1 KK.skrg sdh ada biaya layanan,klo bisa biaya layanan bs lebih murah lagi..dari biaya pajak ada tambahan biaya layanan dan ongkir (ga masalah).",
Anwar Kholil,21 Mei 2025,1,"Tahun 2025 tiba2 signal bermasalah. Awal Mei tiba2 loading terus utk mendapatkan kode bayar. Lalu ada notifikasi Pengesahan STNK Tidak Bisa Didaftarkan. Saya email pengaduan bbrp hari tidak ada respons. Setelah direspons katanya pembayaran pajak harus ke samsat. Lah, lalu utk apa dibuat signal? mengapa malah mundur begini pelayanannya?",
Siti Rusmiyati,6 Mei 2025,5,"first time bayar pajak, ga ngerti apa apaa soalnya ini kendaraan punya bapak, tapi ternyataa mudahh banget pake aplikasi nya. dari awal daftar,pembayaran, sampai pengesahan STNK fisik pun... ga di persulit sama sekalii thanks btw aku pake jasa pos indonesiaa cepet banget datangnyaa",
Pasya Suranata,5 Mei 2025,4,"sangat memudahkan, cuma tolong nanti untuk pembayaran pajak kendaraan di daerah Bangka Belitung di adakan, soalnya saya masyarakat bangka Belitung tidak bisa menggunakan/melakukan transaksi pembayaran pajak kendaraan",
Jazmi Ramli,6 Mei 2025,5,"Aplikasi cukup memudahkan, hanya saja arahan untuk pemula yang instal masih kurang detail. Fitur pelacak pengiriman belum ketauan jadi baiknya ada.",
rama hadie,20 Mei 2025,1,aneh yg bikin aplikasi... ada kendala di pembayaran. di aplikasi signal Ket belum pembayaran tetapi di mbanking sudah kepotong dan di aplikasi signal menjadi kadaluarsa... sudah komplain melalui chat yg balas robot.. sudah email pun belum di respon.. masa mau duitnya doang.. tolong dibenerin lagi sistem kerja aplikasi dan layanan pengaduan..,
Grivy Grivy,2025-04-16 00:00:00,1,"saat mau pengesahan stnk, keterangannya tidak dapat diproses. sudah coba uninstall dan login ulang sama aja nggak ngaruh. ngadu via live chat dan email no respon. malah yang bales bot dan jawabannya template. sudah dicoba lebih dari seminggu tetep aja nggak bisa. terus gunanya apa si ni aplikasi? buang-buang anggaran aja!.",
Maru Nana,5 Mei 2025,2,"Bagus sih trobosan apknya.. tapi kalau mau urus pajak motor temen yang kita pakai, kaga bisa. Tolong kalau bisa di tambah opsi nama lain selain pribadi atau keluarga (kk)",
Mohammad Rifky Maulana,9 Mei 2025,5,"mempermudah pembayaran pajak, tolong ditingkatkan untuk kelayakan servernya saja terkadang lambat padahal sinyal dan jaringan lancar mungkin karena server sedang sibuk oleh banyaknya pengguna yang masuk secara bersamaan",
Jaya Kurniawan,2025-04-16 00:00:00,3,"Tahun 2024 bayar pajak kendaraan prtama kali pake Signal itu bagus banget, tp tahun ini entah kenapa ga bisa slalu error (pendaftaran pengesahan STNK tidak dapat diproses), tlg lah diperbaiki dan ditingkatkan kualitasnya, krena aplikasi ini sangat membantu bagi yg tidak sempat ke samsat dan yg sdh pindah domisili",
Muhammad Yusuf Ibrahim,2025-04-19 00:00:00,1,"mau bayar pajak via online gini aja masyarakatnya diperes harus bayar biaya platform 10rb, biaya transfer 10rb, biaya pengiriman 10rb. Oke lah masih masuk akal kalau ada biaya pengiriman 10rb, tapi apa harus ngenain biaya platform dan biaya transfer sebesar itu? sungguh tidak masuk akal. memberikan solusi untuk rakyatnya tetapi masih diperas juga dengan biaya biaya yang tidak masuk akal",
Khalib Akbar,2025-04-07 00:00:00,2,"Biaya perbankan dan platformnya terlalu mahal itu kalau mau ambil sendiri di samsat, kalau mau dikirim langsung ke rumah tambah lagi biaya ongkirnya, masih mending aplikasi online shop biaya layanan cuma 2rb ongkirnya murah sering dapat gratis ongkir juga.",
Marson O,7 Juli 2025,1,"data yg sudah di simpan hilang, coba menambahkan kendaraan lagi, infonya sudah pernah di tambahkan, tp di cek data nya tidak ada. jadi ga bisa untuk bayar. tolong di perbaiki",
JEDOTIN PALALU,6 Juli 2025,1,"Sulit untuk daftar sudah coba terus selama 3 hari. Masalah di e-KTP saat verifikasi profil keterangan tidak terdaftar di Dukcapil, padahal sy sudah punya aplikasi IKD (Identitas Kependudukan Digital) yg dikeluarkan dukcapil sendiri di Hp. Bagaimana tidak bisa sinkron ini? Yuk segera diperbaiki kendala yg ada, sy ingin bayar pajak kendaraan loh! Terima Kasih",
Fausi,2025-04-09 00:00:00,1,"kalau telat bayar pajak 1x dan mau bayar di pakai aplikasi ini tidak bisak dan harus ke samsat. terus gunanya ada aplikasi ini apa? harusnya bisa supaya mempermudah rakyat bayar pajak yang tinggal di perantauan. masak iya harus pulang kampung dulu supaya bisa bayar pajak. buat biaya pulkam saja mahal yang ada tidak bayar pajak,karena uangnya habis buat ongkos pulkam",
